CODIGO NNM,DESCRIPCION NNM,Codigo SOM,DESCRIPCIÓN SOM
110217,COLOCACION DE DISPOSITIVO INTRAUTERINO              ,1-110217,COLOCACION DE DISPOSIT. INTRAUTERINO                  
,110217,7-110221,COLOCACION DE DIU CON LIBERACION HORMONA          
,110217,7-225016,COLOCACION DE IMPLANTE SUB DERMICO                
,110217,1-225018,COLOCACION DE DISPOSITIVO INTRAUTERINO T-CU       
,110217,1-225020,COLOCACION DE SISTEMA INTRAUTERINO LNG            
110218,EXTRACCION DE DIU                                 ,7-225017,EXTRACCION DE IMPLANTE SUB DERMICO                
,110218,1-225019,EXTRACCION DE DISPOSITIVO INTRAUTERINO T-CU       
,110218,1-225021,EXTRACCION DE SISTEMA INTRAUTERINO LNG            
110219,CONIZACION DE CUELLO POR LEEP                     ,7-110219,CONIZACION DE CUELLO POR LEEP                         
110220,CONIZACIÓN POR RADIOFRECUENCIA                    ,,
110222,CERCLAJE DE CUELLO UTERINO,,
110223,AMEU - ASPIRACION MANUALENDOUTERINA             ,7-117005,AMEU - ASPIRACION MANUAL ENDO UTERINA                 
110224,MIOMECTOMIA LAPAROSCOPICA,,
110225,HISTERECTOMÍA VIDEOLAPAROSCOPICA                  ,7-115002,HISTERECTOMÍA VIDEOLAPAROSCOPICA                      
110227,BIOPSIA DE ENDOMETRIO,,
110227,BIOPSIA DE ENDOMETRIO,7-115041,BIOPSIA DE ENDOMETRIO                             
110229,CIRUGIA DE ENDOMETRIOSIS,,
110230,CIRUGIA LAPAROSCOPICA PARA ENDOMETRIOSIS,,
110235,MODULO IVE TRATAMIENTO INTEGRAL MEDICO AMBULATORIO CON MEDICAMENTOS                       ,7-117001,MODULO DE IVE MEDICAMENTOSO                           
110236,MODULO IVE TRATAMIENTO INTEGRAL MEDICO-QUIRURGICO                          ,7-117002,MODULO DE IVE QUIRURGICO                              
110237,MÓDULO IVE-ILE TRATAMIENTO MÉDICO-QUIRÚRGICO. MODO PARTO CON LEGRADO POSTERIOR,7-117003,MODULO DE ILE MEDICAMENTOSO                           
,110237,7-117004,MODULO DE ILE QUIRURGICO                          
11.03,"OPERACIONES EN VAGINA, VULVA Y PERINE",CELDA VACÍA,
110301,TRATAMIENTO QUIRURGICO DE LA AGENESIA VAGINAL - por procedimientos visceroplasticos -       ,1-110301,TRAT.AGENESIA VAG. POR PROC.VISCEROPLASTICOS          
110302,TRATAMIENTO QUIRURGICO DE LA AGENESIA VAGINAL - por procedimientos no visceroplasticos -       ,1-110302,TRAT.AGENESIA VAGINAL POR PROC.NO VISCEROPLASTICOS    
110303,COLPORRAFIA ANTERIOR Y/O POSTERIOR CON O SIN AMPUTACION DE CUELLO - incluye tratamiento de la incontinencia de orina -             ,1-110303,COLPORRAFIA ANTERIOR Y/O POSTERIOR                   
110304,COLPORRAFIA POR HERIDA O DESGARRO  - fuera del parto -          ,1-110304,COLPORRAFIA POR HERIDA  DESGARRO ETC                 
110305,COLPORRAFIA POSTERIOR CON RECONSTRUCCION DEL ESFINTER ANAL         ,1-110305,COLPORRAFIA POSTERIOR RECONSTRUCCION                  
110306,COLPOPEXIA POR VIA ABDOMINAL.                     ,1-110306,COLPOPEXIA POR VIA ABDOMINAL.                         
110307,COLPOPEXIA COMBINADA POR VIA ABDOMINAL Y VAGINAL        ,1-110307,COLPOPEXIA COMBINADA P/VIA ABDOMINAL                  
110308,COLPOCLEISIS COMPLETA O PARCIAL.                  ,1-110308,COLPOCLEISIS COMPLETA O PARCIAL.                      
110309,COLPOTOMIA. VAGINOTOMIA DE DRENAJE - Absceso pelviano - ESCICION LOCAL DE LESION DE VAGINA                ,1-110309,COLPOTOMIA. VAGNOTOMIA DE DRENAJE                    
110310,RESECCION DE TABIQUE VAGINAL - Operación de POZZI - Vaginismo                ,1-110310,RESECCION DE TABIQUE VAGINAL-POZZI                    
110311,BIOPSIA DE VAGINA. PUNCION DE FONDO DE SACO DE DOUGLAS             ,1-110311,BIOPSIA DE VAGINA. PUNCION DE VAGINA                  
110312,VULVECTOMIA RADICAL - Incluye vaciamiento de ganglios linfaticos inguinales -              ,1-110312,VULVECTOMIA RADICAL INCL.VACIAMIENTO                  
110313,VULVECTOMIA SIMPLE                        ,1-110313,VULVECTOMIA SIMPLE.                                   
110314,"ESCISION DE LABIOS MAYORES, LABIOS MENORES, GLANDULA DE BARTHOLINO, GLANDULA DE SKENE             ",1-110314,ESCISION LABIOS MAYO.LABIOS MENORES                   
110315,"HIMENOTOMIA - Incision y drenaje de vulva, glandula de bartholino, glandula de Skene -                ",1-110315,HIMENOTOMIA. INCI.DRENAJE DE VULVA                    
110316,"EPISIORRAFIA, PERINEORRAFIA o EPISIOPERINEORRAFIA - fuera de parto -                      ",1-110316,EPISIORRAFIA  PERINEORRAFIA                          
110317,"PERINEOPLASTIA, EPISIOPERINEOPLASTIA              ",1-110317,PERINEOPLASTIA  EPISIOPERINEOPLASTIA                 
110318,ABLACION DE LESIONES DE VULVA Y VAGINA CON LASER  ,7-110318,ABLACION DE LESIONES DE VULVA Y VAGINA CON LASER      
110319,ABLACION DE LESIONES DE CUELLO CON CRIOCIRUGIA    ,7-110319,ABLACION DE LESIONES DE CUELLO CON CRIOCIRUGIA        
110321,CIRUGÍA LÁSER GENITAL EXTERNA GINECOLÓGICA,7-110320,CIRUGIA MODIFICACION GENITAL EXTERNA                  
110322,BIOPSIA DE VULVA                                  ,7-115031,BIOPSIA DE VULVA                                      
110325,COLPOPEXIA VÍA LAPAROSCÓPICA  ,,
11.04,OPERACIONES OBSTETRICAS,CELDA VACÍA,
110401,PARTO                                       ,1-110401,PARTO.                                                
,110401,7-110480,MODULO DE PARTO                                   
110402,"EVACUACION UTERINA EN EL SEGUNDO TRIMESTRE DEL EMBARAZO, CON MECANISMO DE PARTO           ",1-110402,EVACUACION UTERINA EN SEGUN.TRIMEST.                  
110403,"OPERACION CESAREA CLASICA, EXTRAPERITONEAL, VAGINAL                        ",1-110403,OPERACION CESAREA CLASICA                             
,110403,7-110490,MODULO DE CESAREA                                 
,110403,7-110491,MODULO DE CESAREA SIN HONORARIOS                  
110404,ATENCION DEL ALUMBRAMIENTO O PUERPERIO Y/O SUS COMPLICACIONES - cuando el parto no fue asistido por un medico -              ,1-110404,ATENCION ALUMBRAMIENTO O PUERPERIO                    
110405,AMNIOCENTESIS - Transabdominal o via vaginal -              ,1-110405,AMNIOCENTESIS TRANSABDOMINAL/VAGINAL                  
110408,FETOSCOPIA                                        ,7-115101,FETOSCOPIA                                            
11.05,LAPAROSCOPIA Y VIDEOHISTEROSCOPIA,CELDA VACÍA,
110501,LAPAROSCOPIA GINECOLOGICA TERAPEUTICA                  ,7-110501,LAPAROSCOPIA GINECOLOGICA TERAP                       
110501,LAPAROSCOPIA GINECOLOGICA TERAPEUTICA                  ,7-115005,CRIOCIRUGÍA GINECOLÓGICA                          
110502,VIDEOHISTEROSCOPIA DIAGNOSTICA                    ,7-110502,VIDEOHISTEROSCOPIA DIAGNOSTICA                        
110503,VIDEOHISTEROSCOPIA TERAPEUTICA                    ,7-110503,VIDEOHISTEROSCOPIA TERAPEUTICA                        
110505,RESECTOSCOPIA HISTEROSCOPICA                      ,7-115001,RESECTOSCOPIA HISTEROSCOPICA                          
11.06,OPERACIONES ONCOLOGICAS GINECOLOGICAS,CELDA VACÍA,
110601,OPERACIÓN DE WERTHEIN MEIGS PARA CA. DE CUELLO DE UTERO (Anexohisterectomia radical ampliada con porcion de vagina y ganglios linfaticos),,
110602,CIRUGÍA ONCO-GINECOLÓGICA DE CITORREDUCCIÓN PARA CA. DE OVARIOS (Omentectomia y linfadenectomia pelviana ampliada),,
110603,CIRUGIA AMPLIADA PARA CA. DE ENDOMETRIO (Anexohisterectomia ampliada con linfadenectomia pelviana y/o ganglio centinela),,
110604,"CIRUGIA AMPLIADA PARA CA. DE VULVA (Vulvectomia con ganglio centinela, linfadenectomia inguinal uni o bilateral superficial y/o profunda)",,
110605,OPERACIÓN DE WERTHEIN MEIGS PARA CA. DE CUELLO DE UTERO (Anexohisterectomia radical ampliada con porcion de vagina y ganglios linfaticos) - VIA LAPAROSCOPICA -,,
110606,CIRUGÍA ONCO-GINECOLÓGICA DE CITORREDUCCIÓN PARA CA. DE OVARIOS (Omentectomia y linfadenectomia pelviana ampliada) - VIA LAPAROSCOPICA -,,
110607,CIRUGIA AMPLIADA PARA CA. DE ENDOMETRIO (Anexohisterectomia ampliada con linfadenectomia pelviana y/o ganglio centinela) - VIA LAPAROSCOPICA -,,
110608,"CIRUGIA AMPLIADA PARA CA. DE VULVA (Vulvectomia con ganglio centinela, linfadenectomia inguinal uni o bilateral superficial y/o profunda) - VIA LAPAROSCOPICA -",,
11.07,FERTILIZACION ASISTIDA,CELDA VACÍA,
110701,MÓDULO DE IIU (INSEMINACIÓN INTRAUTERINA),,
110701,MÓDULO DE IIU (INSEMINACIÓN INTRAUTERINA),7-229008,MODULO DE INSEMINACION ART.INTRAUTERINA-BAJA COMP
110702,MODULO ESTIMULACION OVARICA ,,
110703,MODULO DE ASPIRACION Y FIV-ICSI,,
110703,MODULO DE ASPIRACION Y FIV-ICSI,7-229009,MODULO FERTILIZACION IN VITRO-ALTA COMPLEJIDAD
110704,MODULO DESCONGELACION Y TRANSFERENCIA,,
11.08,OTRAS INTERVENCIONES,CELDA VACÍA,
110801,EMBOLIZACIÓN TERAPÉUTICA GINECOLÓGICA,,
12.,12. OPERACIONES EN EL SISTEMA MUSCULO-ESQUELETICO,CELDA VACÍA,
12.02,FRACTURA CON DESPLAZAMIENTO - OSTEOPLASTIAS,CELDA VACÍA,
120201,"FRACTURA CON DESPLAZAMIENTO CERVICAL, DORSAL, LUMBAR",1-120201,FRACTURA CON DESPLAZAMIENTO-CERVICAL-DORSAL-LUMBAR    
120202,"FRACTURA CON DESPLAZAMIENTO ESTERNON, ESCAPULA, HUMERO, CUBITO Y/O RADIO, UNO O MAS HUESOS DEL CARPO, PERONE, UNO O MAS HUESOS DEL TARSO (excluido astragalo, calcaneo, max. Sup, max. Inf)  ",1-120202,FRACT.CON DESPLAZAMIENTO-ESTERNON-ESCAPULA-HUMERO     
120203,"FRACTURA CON DESPLAZAMIENTO PELVIS, FEMUR, TIBIA Y PERONE, ASTRAGALO, CALCANEO, SUPRACONDILEA DE HUMERO",1-120203,FRACTURA CON DESPLAZ. PELVIS FEMUR TIBIA PERONE       
120204,"FRACTURA CON DESPLAZAMIENTO CLAVICULA, COSTILLAS, ROTULA, METACARPIANOS O METATARSIANOS (mismo miembro), FALANGES (mismo dedo), HUESOS PROPIOS DE LA NARIZ, MALAR",1-120204,FRACT.CON DESPLAZ.CLAVICULA-COSTILLAS-ROTULA-METAC    
12.03,OPERACIONES EN HUESOS Y ARTICULACIONES,CELDA VACÍA,
120301,REDUCCION OSTEOSINTESIS. CERVICAL DORSAL O LUMBAR  ,1-120301,REDUCCION OSTEOSINTESIS CERVICAL DORSAL O LUMBAR      
120302,"REDUCCION OSTEOSINTESIS. HUMERO, PELVIS, SACRO, FEMUR, TIBIA, PERONE, CUBITO Y RADIO",1-120302,REDUCCION OSTEOSINTESIS PELVIS SACRO MIEMB.SUP.INF    
120303,"REDUCCION OSTEOSINTESIS CUBITO, RADIO, TERCIO INFERIOR, uno o mas huesos del CARPO, 1er METACARPIANO, uno o mas huesos del TARSO, MAXILARES sup o inf ",1-120303,OSTEOSINTESIS CUB.RAD.CARP.1ER METACAR TARS MAX       
120304,"REDUCCION OSTEOSINTESIS ESTERNON, COSTILLAS, CLAVICULA, ESCAPULA, ROTULA",1-120304,REDUC.OSTEOSINTESIS ESTERN.COST.CLAV.ESCAP. ROTULA    
120305,"REDUCCION OSTEOSINTESIS METACARPIANO (excepto el primero), METATARSIANO FALANGES (mismo dedo) MALAR, HUESOS PROPIOS DE LA NARIZ",1-120305,OSTEOSINTESIS METACARP.METATAR.FALANG.MALAR  NARIZ   
120306,"REDUCCION OSTEOSINTESIS INCRUENTA (CERRADA) DE FRACTURAS DE ESTERNON, ESCAPULA HUMERO CUBITO ETC",,
120307,"REDUCCION OSTEOSINTESIS INCRUENTA (CERRADA) DE FRACTURAS DE PELVIS, FEMUR, TIBIA, PERONE ETC",,
120307,"REDUCCION OSTEOSINTESIS INCRUENTA (CERRADA) DE FRACTURAS DE CLAVICULA, COSTILLA ROTULA ETC",,
120308,EXTRACCION DE MATERIAL DE OSTEOSINTESIS,7-127027,EXTRACCON DE MATERIAL DE OSTEOSINTESIS                
120309,INJERTO OSEO - IMPLANTE OSEO                                  ,7-129008,IMPLANTES OSEOS                                       
12.04,INCISIONES Y RESECCIONES,CELDA VACÍA,
120401,"INSICION RESECCION PARCIAL DE VERTEBRAS, LAMINECTOMIA - UNICA OPERACIÓN -              ",1-120401,VERTEBRAS LAMINECTOMIA C/UNICA OPERA                 
120402,"INCISION, RESECCION PARCIAL DE COXAL, FEMUR, HUMERO ",1-120402,INCISION  RESECCION PARCIAL DE COXAL FEMUR HUMERO    
120403,"INCISION, RESECCION PARCIAL DE ESTERNON, ESCAPULA, CUBITO, RADIO, CARPO, TIBIA, PERONE, TARSO. Huesos de la cara",1-120403,INCIS.RESEC.ESTERN.ESCAP.CUB.RAD.CARP.TIB.PER.TAR.    
120404,"INSICION RESECCION PARCIAL DE COSTILLA, CLAVICULA, METACARPO, METATARSO, FALANGES",1-120404,INCIS.RESEC.COSTILLA CLAV.METACAR.METATAR.FALANGES    
120405,PUNCION BIOPSIA DE VERTEBRAS                    ,1-120405,PUNCION BIOPSIA DE VERTEBRA.                          
120406,PUNCION BIOPSIA DE CUALQUIER OTRO HUESO              ,1-120406,PUNCION BIOPSIA CUALQUIER OTRO HUESO                  
12.05,RESECCIONES TOTALES DE HUESOS,CELDA VACÍA,
120501,"RESECCION TOTAL DE ESCAPULA, HUMERO, ISQUION, ILION  ",1-120501,RESECCION TOTAL DE ESCAPULA HUMERO ISQUION ILION      
120502,"RESECCION TOTAL DE COXAL, FEMUR, TIBIA, HUMERO, MAXILAR SUPERIOR INFERIOR  ",1-120502,RESECCION TOTAL COXAL FEMUR TIBIA HUMERO MAXILAR      
120503,"RESECCION TOTAL DE CUBITO, RADIO, PERONE, CARPO, ASTRAGALO, CALCANEO (otros del TARSO), COSTILLAS, MALAR ",1-120503,RESECC.HUESOS M.SUPERIOR INFERIOSC.COSTILLA MALAR     
120504,"RESECCION TOTAL CLAVICULA, ROTULA METATARSIANO, METACARPIANO, FALANGES DE UN MISMO DEDO, HUESOS PROPIOS DE LA NARIZ",1-120504,RESECCION TOTAL CLAVICULA ROTULA METATARSO FALANGE    
12.06,OSTEOTOMIAS CORRECTIVAS,CELDA VACÍA,
120601,"OSTEOTOMIAS CORRECTIVAS FEMUR, TIBIAL, TIBIA Y PERONE ",1-120601,OSTEOTOMIAS CORRECTIVAS FEMUR TIBIAL TIBIA PERONE     
120602,"OSTEOTOMIAS CORRECTIVAS. HUMERO, CUBITAL Y/O RADIAL, ASTRAGALO Y/O CALCANEO (otros huesos del tarso, maxilar superior o inferior)",1-120602,OSTEOTOMIAS CORRECTIVAS M.SUP. ASTRAGALO CALCANEO     
120603,"OSTEOTOMIAS CORRECTIVAS. METACARPIANO, METATARSIANO, FALANGES (de un mismo dedo)  ",1-120603,OSTEOTOMIA CORRECTIVA METACARP.METATARS.FALANGES      
12.07,REPARACIONES EN LOS HUESOS,CELDA VACÍA,
120701,OSTEOPLASTIA CLAVICULA                            ,1-120701,OSTEOPLASTIA CLAVICULA                                
120702,OSTEOPLASTIA HUMERO                               ,1-120702,OSTEOPLASTIA HUMERO                                   
120703,"OSTEOPLASTIA CUBITO, RADIO, CARPO, HUESOS DE LA CARA ",1-120703,OSTEOPLASTIA CUBITO RADIO CARPO HUESOS DE LA CARA  
120704,OSTEOPLASTIA METACARPIANO                         ,1-120704,OSTEOPLASTIA METACARPIANO                             
120705,OSTEOPLASTIA FALANGES (UNA O MAS. Mismo dedo)                    ,1-120705,OSTEOPLASTIA FALANGES                                 
120706,"OSTEOPLASTIA FEMUR, TIBIA, PERONE                 ",1-120706,OSTEOPLASTIA FEMUR  TIBIA  PERONE                   
120707,"OSTEOPLASTIA ASTRAGALO, CALCANEO, OTROS HUESOS DEL TARSO",1-120707,OSTEOPLASTIA ASTRAGALO CALCANEO Y HUESOS DEL TARSO    
120708,OSTEOPLASTIA METATARSIANO FALANGES  (UNA O MAS. Mismo dedo)              ,1-120708,OSTEOPLASTIA METATARSIANO FALANGES                    
120709,CIFOPLASTIA ,,
12.08,ARTROCENTESIS   ,CELDA VACÍA,
120801,"ARTROCENTESIS DIAGNOSTICA, TERAPEUTICA, ARTROGRAFIA",1-120801,ARTROCENTESIS DIAGNOSTICA TERAPEUTICA  ARTROGRAFIA  
12.09,ARTROTOMIAS,CELDA VACÍA,
120901,"ARTROTOMIA SACRO-ILIACA,  CONDRO-COSTAL, CONDRO-ESTERNAL    ",1-120901,ARTROTOMIA SACRO-ILIACA CONDRO-COSTAL ESTERNAL        
120902,"ARTROTOMIA HOMBRO, CADERA, RODILLA                ",1-120902,ARTROTOMIA HOMBRO  CADERA  RODILLA                  
120903,ARTROTOMIA METACARPO/METATARSO/FALANGICA INTERFALANGICA,1-120903,ARTROTOMIA METACARPO/METATARSO/FALANGE INTERFALANG    
12.10,ARTROPLASTIAS,CELDA VACÍA,
121001,ARTOPLASTIA CADERA                                ,1-121001,ARTOPLASTIA CADERA                                    
121002,ARTOPLASTIA RODILLA                               ,1-121002,ARTOPLASTIA RODILLA                                   
121003,"ARTOPLASTIA HOMBRO, CODO, MUÑECA, CUELLO DE PIE, TEMPORO-MANDIBULAR",1-121003,ARTOPLASTIA HOMBRO CODO MUÑEC CUELLO PIE MANDIBULA    
121004,"ARTOPLASTIA ESTERNOCLAVICULAR, CARPO, TARSO-METATARSIANA",1-121004,ARTOPLASTIA ESTERNOCLAVICULAR CARPO TARSOMETATARSO    
121005,ARTOPLASTIA ACROMIO CLAVICULAR METACARPO-FALANGICA,1-121005,ARTOPLASTIA ACROMIO CLAVICULAR METACARPO-FALANGICA    
121006,ARTROPLASTIA (REEMPLAZO) DE CADERA PARCIAL,,
121007,ARTROPLASTIA (REEMPLAZO) DE RODILLA PARCIAL,,
121007,ARTROPLASTIA (REEMPLAZO) DE RODILLA PARCIAL,7-125062,MODULO DE REEMPLAZO DE RODILLA PARCIAL            
121008,"ARTROPLASTIA DE REVISION DE RODILLA, HOMBRO, CADERA ",7-121007,ARTROPLASTIA DE REVISION DE RODILLA HOMBRO CADERA   
121009,MODULO DE REEMPLAZO TOTAL DE RODILLA CON SISTEMA MAKO,7-121009,MODULO DE REEMPLAZO TOTAL DE RODILLA CON SISTEMA MAKO
121010,MODULO DE REEMPLAZO TOTAL O PARCIAL DE CADERA CON SISTEMA MAKO,7-121010,MODULO DE REEMPLAZO TOTAL O PARCIAL DE CADERA CON SISTEMA MAKO
12.11,ARTRODESIS - ARTRORRISIS,CELDA VACÍA,
121101,"ARTRODESIS COLUMNA CERVICAL, DORSAL, LUMBAR (menos de 3 vertebras)         ",1-121101,ARTRODESIS COLUMNA CERVICAL DORSAL LUMBAR             
121102,"ARTRODESIS COLUMNA CERVICAL, DORSAL, LUMBAR CADERA RODILLA (mas de 3 vertebras) ",1-121102,ARTRODESIS CERVICAL DORSAL LUMBAR CADERA RODILLA      
121103,"ARTRODESIS HOMBRO, CODO                            ",1-121103,ARTRODESIS HOMBRO CODO                                
121104,"ARTRODESIS ESTERNO CLAVICULAR MUÑECA TARSO, TIBIOTARSAL,  TARSOMETATARSIANA, SINFISIS PUBIANA   ",1-121104,ARTRODESIS ESTERNOCLAVIC.CARPO TIBIOTARSO PUBIS       
121105,DOBLE ARTRODESIS. CHOPART SUBASTRAGALINA          ,1-121105,DOBLE ARTRODESIS CHOPART SUB ASTRAGALINA              
121106,TRIPLE ASTRODESIS TIBIOTARSIANA SUBASTRAGALINA                  ,1-121106,TRIPLE ASTRODESIS -TIBIOTARSIANA                      
121107,"ARTRODESIS PROXIMAL O DISTAL ARTRORRISIS METACARPO FALANGICA, METATARSO FALANGICA, INTERFALANGICA",1-121107,ARTRODESIS ARTRORRISIS METACARPO METATARSO FALANGE    
121108,ARTRODESIS DE RODILLA ,,
12.12,"SUTURAS EN ARTICULACIONES, ESCISION DE BOLSAS SEROSAS",CELDA VACÍA,
121201,"SUTURA DE CAPSULA O LIGAMENTOS ESTERNOCLAVICULAR, ACROMIOCLAVICULAR, CODO, MUÑECA, CARPO ",1-121201,SUTURA LIGAM.ESTERNOACROMIOCLAVICULAR CODO MUÑECA     
121202,SUTURA DE CAPSULA O LIGAMENTOS HOMBRO CADERA RODILLA TEMPORO MAXILAR,1-121202,SUTURA LIGAM.HOMBRO CADERA RODILLA TEMPORO MAXILAR    
121203,SUTURA DE CAPSULA O LIGAMENTOS METACARPO O METATARSO FALANGICA INTERFALANGICA,1-121203,SUTURA CAPSULA LIGAMENTO METACARP METATARS FALANGE    
121204,ESCISION O INCISION BIOPSIA DRENAJE O EXTRACCION DE DEPOSITOS,1-121204,ESCISION INCISION BIOPSIA DRENAJE EXTRAC.DEPOSITOS    
12.13,LUXACIONES,CELDA VACÍA,
121301,INMOVILIZACION POR LUXACION DE COLUMNA CERVICAL DORSAL O LUMBAR  ,1-121301,INMOVILIZACION LUXACION CERVICAL DORSAL O LUMBAR      
121302,INMOVILIZACION POR LUXACION DE CADERA RODILLA     ,1-121302,INMOVILIZACION POR LUXACION DE CADERA RODILLA         
121303,"INMOVILIZACION POR LUXACION DE CLAVICULA HOMBRO CODO MUÑECA METACARPO TOBILLO, TARSO Y METATARSO",1-121303,INMOVIL.LUXAC.CLAVIC.HOMBRO CODO MUÑEC.METACAR.TOB    
121304,"INMOVILIZACION DE METACARPO O METATARSO FALANGICA, TEMPORO MAXILAR,  POR UNA O MAS  LUXACIONES",1-121304,INMOVILIZACION METACARPO METATARS FALANGE LUXACION    
121305,"CIRUGIA E INMOVILIZACION POR LUXACION DE COLUMNA CERVICAL, DORSAL, LUMBAR",1-121305,CIRUGIA LUXACION DE COLUMNA CERVICAL DORSAL LUMBAR    
121306,CIRUGIA E INMOVILIZACION POR LUXACION DE CADERA RODILLA ,1-121306,CIRUGIA INMOVILIZACION LUXACION DE CADERA RODILLA     
121307,"CIRUGIA E INMOVILIZACION POR LUXACION DE CLAVICULA, HOMBRO, CODO, MUÑECA, METACARPO, TOBILLO",1-121307,CIRUGIA LUXAC.CLAVIC.HOMBRO CODO MUÑEC.METACAR.TOB    
121308,"CIRUGIA E INMOVILIZACION POR LUXACION DE METACARPO, METATARSO, FALANGICA, TEMPOROMAXILAR",1-121308,CIRUGIA LUXACION METACARP.METATARS.FALANG.TEMPMAX.    
12.14,OPERACIONES EN LOS MUSCULOS,CELDA VACÍA,
121401,MIECTOMIAS CON VACIAMIENTO DE CELDA MUSCULAR (o extirpacion total de grupo muscular)     ,1-121401,MIECTOMIAS CON VACIAMIENTO DE CELDA MUSCULAR          
121402,"INCISION DE MUSCULOS ESCISION DE LESION LOCAL BIOPSIA MIORRAFIAS (exploracion, extraccion de cuerpo extraño, drenaje)",1-121402,INCISION MUSCULO ESCISION LESION BIOPSIA MIORRAFIA    
12.15,"OPERACIONES EN TENDONES, VAINAS TENDINOSAS Y FASCIAS",CELDA VACÍA,
121501,"EXPLORACION DRENAJE EXTRACCION, INCISION, ESCISION, BIOPSIA. TENOTOMIA FASCIOTOMIA, ETC                   ",1-121501,EXPLORACION DRENAJE BIOPSIA ETC                     
121502,REPARACION Y SUTURA TENORRAFIA DE TENDON DE LA MUÑECA O DEDO DE LA MANO         ,1-121502,SUTURA TENORRAFIA TENDON MUÑECA DEDO MANO             
121503,TENOPLASTIA CON ALARGAMIENTO O ACORTAMIENTO O INJERTO DE TENDON FLEXOR DE LA MUÑECA O DEDO DE LA MONO        ,1-121503,TENOPLASTIA C/ALARG./ACORT.TENDON FLEXOR              
121504,REPARACION O SUTURA TENORRAFIA EN TENDON EXTENSOR DE LA MUÑECA O DEDO DE LA MANO   ,1-121504,SUTURA TENORRAFIA TENDON EXTENSOR MUÑECA O DEDO       
121505,TENOPLASTIA CON ALARGAMIENTO O ACORTAMIENTO O INJERTO DE TENDON EXTENSOR  DE LA MUÑECA O DEDO DE LA MANO        ,1-121505,TENOPLASTIA C/ALARG./ACORT.TENDON EXTENSOR            
